Latitude,Longitude
49.8922,8.69981
49.8923,8.70016
49.8924,8.70054
49.8925,8.70088
49.8927,8.70194
49.8929,8.70284
49.893,8.70362
49.859,8.63505
49.859,8.63503
49.8763,8.66169
49.8763,8.66177
49.8764,8.66188
49.8769,8.66284
49.8769,8.66291
49.877,8.66306
49.8773,8.66365
49.8774,8.66385
49.8775,8.66395
49.8959,8.68618
49.8959,8.68561
49.8958,8.68481
49.8954,8.68197
49.8954,8.68153
49.8954,8.68149
49.8953,8.68127
49.8958,8.6862
49.8959,8.68638
49.896,8.68715
49.8961,8.68792
49.8644,8.63733
49.8642,8.63753
49.8642,8.6376
49.864,8.63789
49.864,8.63799
49.8639,8.6381
49.8639,8.63819
49.8638,8.6383
49.8638,8.63833
49.8632,8.6393
49.8629,8.63977
49.8627,8.64012
49.8625,8.64048
49.8625,8.64052
49.8625,8.64063
49.8624,8.64068
49.8644,8.63733
49.8645,8.63716
49.8645,8.63708
49.8647,8.63688
49.8649,8.63658
49.8885,8.64528
49.8885,8.64504
49.8884,8.64484
49.8944,8.67708
49.8946,8.67735
49.8939,8.67642
49.8942,8.67674
49.888,8.62006
49.8871,8.62153
49.9003,8.65493
49.9003,8.65491
49.8522,8.66971
